=== Reaper CPU monitor Sat Jul  4 10:08:04 CDT 2026 ===
[10:10:12] reaper=4.1 104304 | webcontent=cpu=13.2% rss=183776KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:14] reaper=3.8 104656 | webcontent=cpu=12.7% rss=184080KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:15] reaper=2.8 104848 | webcontent=cpu=12.2% rss=198816KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:16] reaper=3.3 104768 | webcontent=cpu=15.7% rss=196864KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:17] reaper=4.2 104800 | webcontent=cpu=16.4% rss=202304KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:18] reaper=6.3 104832 | webcontent=cpu=21.5% rss=206400KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:19] reaper=4.4 104960 | webcontent=cpu=22.2% rss=212560KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:21] reaper=4.6 105056 | webcontent=cpu=13.5% rss=214928KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:22] reaper=3.9 105232 | webcontent=cpu=21.5% rss=239024KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:23] reaper=3.3 105248 | webcontent=cpu=16.8% rss=247200KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:24] reaper=3.5 105264 | webcontent=cpu=27.7% rss=302608KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:25] reaper=3.8 105312 | webcontent=cpu=15.6% rss=309232KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:27] reaper=3.8 105312 | webcontent=cpu=14.4% rss=309904KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:28] reaper=5.3 105328 | webcontent=cpu=17.7% rss=311808KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:29] reaper=3.3 105328 | webcontent=cpu=17.4% rss=312080KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:30] reaper=6.1 105232 | webcontent=cpu=17.2% rss=312224KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:31] reaper=5.1 105328 | webcontent=cpu=19.3% rss=318416KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:32] reaper=5.5 105392 | webcontent=cpu=19.4% rss=321184KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:34] reaper=3.8 105312 | webcontent=cpu=15.4% rss=322640KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:35] reaper=2.9 105328 | webcontent=cpu=17.7% rss=324080KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:36] reaper=4.2 104736 | webcontent=cpu=18.1% rss=323888KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:37] reaper=4.0 104736 | webcontent=cpu=14.6% rss=326256KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:38] reaper=3.5 104816 | webcontent=cpu=17.1% rss=322752KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:39] reaper=2.9 104784 | webcontent=cpu=17.1% rss=323344KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:41] reaper=2.9 104752 | webcontent=cpu=17.8% rss=309888KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:42] reaper=2.9 104784 | webcontent=cpu=17.0% rss=309328KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:43] reaper=3.2 104448 | webcontent=cpu=17.0% rss=297184KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:44] reaper=4.5 105296 | webcontent=cpu=10.5% rss=291072KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:45] reaper=0.0 105152 | webcontent=cpu=0.1% rss=291264KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:46] reaper=0.0 102912 | webcontent=cpu=0.0% rss=259296KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:48] reaper=0.0 102224 | webcontent=cpu=0.0% rss=259184KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:49] reaper=0.0 102224 | webcontent=cpu=0.0% rss=259088KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:50] reaper=0.0 102352 | webcontent=cpu=0.0% rss=259040KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:51] reaper=0.0 102352 | webcontent=cpu=0.0% rss=259040KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:52] reaper=0.0 102352 | webcontent=cpu=0.0% rss=259040KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:54] reaper=0.0 102352 | webcontent=cpu=0.0% rss=259152KB | javac_count=0 | jdtls: pid=88423 cpu=0.1%
[10:10:55] reaper=0.0 102400 | webcontent=cpu=0.0% rss=259072KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:56] reaper=0.0 102400 | webcontent=cpu=0.0% rss=259072KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:57] reaper=0.0 102400 | webcontent=cpu=0.0% rss=259072KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:10:58] reaper=0.0 102400 | webcontent=cpu=0.0% rss=259072KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:00] reaper=0.0 102384 | webcontent=cpu=0.0% rss=259072KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:01] reaper=0.0 102384 | webcontent=cpu=0.0% rss=258880KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:02] reaper=0.0 102384 | webcontent=cpu=0.0% rss=258880KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:03] reaper=0.0 102384 | webcontent=cpu=0.0% rss=258880KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:04] reaper=0.0 102384 | webcontent=cpu=0.0% rss=258880KB | javac_count=0 | jdtls: pid=88423 cpu=0.1%
[10:11:05] reaper=0.0 102368 | webcontent=cpu=0.0% rss=258880KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:07] reaper=0.0 102368 | webcontent=cpu=0.0% rss=258880KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:08] reaper=0.0 102368 | webcontent=cpu=0.0% rss=258880KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:09] reaper=0.0 102368 | webcontent=cpu=0.0% rss=258880KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:10] reaper=0.0 102368 | webcontent=cpu=0.0% rss=258880KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:11] reaper=0.0 102368 | webcontent=cpu=0.0% rss=258880KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:13] reaper=0.0 102368 | webcontent=cpu=0.0% rss=258880KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:14] reaper=0.0 102368 | webcontent=cpu=0.0% rss=258880KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:15] reaper=2.8 103792 | webcontent=cpu=12.2% rss=238352KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:16] reaper=3.8 103984 | webcontent=cpu=17.0% rss=204560KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:17] reaper=4.1 104112 | webcontent=cpu=14.9% rss=206832KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:19] reaper=0.4 104224 | webcontent=cpu=1.0% rss=202656KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:20] reaper=0.0 104224 | webcontent=cpu=0.0% rss=202656KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:21] reaper=0.0 104160 | webcontent=cpu=0.0% rss=202656KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
